complaint_text,crime_category
"Informatica/ Etl Tester Position: Informatica Tester Location: Herndon, VA Duration : Long term Job Description : Good in Informatica Good knowledge in ETL Testing and Unix Good in SQL and data warehouse concepts Should have 6+ Years of experience Good communication skills",Job/Employment Scam
"Nurse Shift/Program Supervisor Apply to this job using below link #URL_e7f8b96fdd17886ed326bcbf2a000df1e0ac1eab8504a5c4d648d1afa9e9debd# Nurse Shift/Program Supervisor on one of five nursing units at Thomson-Hood Veterans Center, a state owned long-term, 285 bed, nursing care facility for Kentucky's Veterans and is located in Jessamine County. You may contact Julie Harmon at 1-, #URL_de7a06250ea718663a50c90da3db01894fbede7903d2f0cba5a7b943e2923149# Submit applications online at: #URL_3e21033d374d1a705d87b2d5d5f5cef999246dc901c5b12fbcc1f703a13fc492# Apply to Req # 32465BR Thomson-Hood Veterans Center does not discriminate against any person on the basis of race, color, national origin, disability, or age in admission, treatment, or participation in its programs, services, and activities, or in employment. For further information about this policy, contact: Amy Lambert, Telephone Number , TDD .",Job/Employment Scam
Received credit card from ICICI Bank which I never applied for. Someone used my identity to get the card and spent ₹200000.,Financial Fraud
"QC Inspector Corporate overview Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values. We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future Aker Solutions is a leading global provider of engineering and technology, products and service solutions to the Oil &amp; Gas industry. At Aker Solutions we offer an ocean of opportunities. Our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. We are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities. All our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs. Responsibilities and tasks Goods in QC inspection: • Approves incoming materials by confirming specifications; conducting visual and measurement tests; rejecting and returning unacceptable materials. • Documents inspection results by completing reports and logs. • Maintains safe and healthy work environment by following standards and procedures; complying with legal regulations. • To work at all times to the Company’s Quality Management System. • To complete all applicable activities identified within the department work packs and purchase orders. • Ensure all calibrated equipment used within the test and inspection process is within calibration date and rated for the work activities. • Play a pro-active role in housekeeping and continuous improvement initiatives. As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.",Job/Employment Scam
IMMEDIATE ACTION: DHL: Address verification required for your parcel #54321. Click here. Contact us immediately.,Phishing
"Research Engineer Data Science Research Engineer | Data Science | San Mateo, CA Responsibilities include understanding and implementing algorithmic approaches, building needed prototypes, testing them on large scale data sets, and finally implementing end-to-end solutions and deploying them into production. Responsibilities: Key Responsibilities: Full understanding of the current machinery in place as well as new algorithmic approaches to be followed. Ownership of near-production prototypes and production-grade modules. Execution of experiments on production environment and validation of results. Brainstorming and taking part in algorithm designs. Exploration of large datasets and finding optimal ways to use data for modeling.",Job/Employment Scam
Cyber Crime Unit: Your social media account is used for illegal activity. You are under arrest. Act immediately to avoid legal consequences.,Financial Fraud
"Dear Customer, CRITICAL NOTICE: Yoyour parcel contains illegal items. Contact customs officer immediately to avoid legal action.",Phishing
"Dear Consumer your electriccity power will be disconnected. Tonight at 9.30 pm from electricity office, because your previous month's bill was not updated. Please immediately contact our electricity officer call 91538xxxxx. Thank you.",Phishing
"Senior Geologist Job Description Company Overview: INTECSEA is a global company within the WorleyParsons Group and offers all the Group’s capabilities for floating systems, offshore pipelines and subsea production systems. Combined with WorleyParsons Group, we offer clients complete project expertise from subsea wellhead through onshore processing and distribution. For over 25 years, INTECSEA has provided frontier technology leadership for the energy industry’s most challenging offshore field development and pipeline projects. Essential Duties and Responsibilities: Survey Lead / Lead Geologist / Lead Geophysicist providing support to projects charged with the following activities: Evaluation of survey and geoscience needs for projects. Interfacing with internal project teams, providing geo-consulting guidance to those teams. Development of scopes of work and specifications for geophysical and geotechnical site investigation. Preparation and evaluation of tender packages for geophysical and geotechnical site investigation. Management of geotechnical or geophysical contractor Client representative during offshore site investigation Preparation or management of integrated desktop and field development studies. Preparation or management of pipeline right-of-way or well site drilling and site clearance reports. Preparation of integrated studies, integrating geophysical and geotechnical data. Support INTECSEA and WorleyParsons worldwide geoscience operations. GIS-based data integration from multiple disciplines. Interpretation and reporting on geophysical and geotechnical data. Pipeline route assessment, evaluation and design. Liaises with subsea engineers on geohazards and siting conditions for subsea facilities. Subject-matter expert on geosciences to internal and external clients. Familiarity with basic geotechnical engineering principles. Business Development: Exploration and development of geosciences opportunities and staff within INTECSEA Identifying market/client trends, potential upcoming job opportunities, and development of novel approaches or improvements to the project execution work process. Maintains contact and positive relationships with clients. Mentoring of staff. It is preferred that candidate has a general familiarity with subsea facilities and infrastructure including risers, pipelines and umbilicals, PLETs, PLEMs, UTAs, skirted foundations, suction caisson foundations, driven piles, etc. Knowledge and/or appreciation of US CFR and GOM regulatory NTLs and BOEM/MMS requirements for site clearance and permitting of wellsites and pipeline rights-of-way is a plus.",Job/Employment Scam
"Dear Customer, Your power will be disconnected 11:00 PM. Pay Rs 3,000 on this link for immediate update.",Phishing
"URGENT: Suspicious transaction of Rs 49,999 detected on your HDFC account from Mumbai. Share OTP within 2 minutes to reverse, else money will be debited permanently.",UPI Fraud
Received credit card from ICICI Bank which I never applied for. Someone used my identity to get the card and spent ₹50000.,Financial Fraud
Notification Dear consumer Your Electricity Power will be disconnected Tonight at 9.30 pm from electricity Office. because your previous month bill was not update please immeditely contacttst with Our electricity officer [Number] Thank you.,Phishing
FINAL REMINDER: A traffic challan of Rs 1000 has been issued against your vehicle. Check details and pay: https://lnk.ink/cyidh,Phishing
"Mechanical Engineering Manager Mechanical Engineering Manager The Role they will play: Immediately play a vital role for this great company, and with their newest vessels. Lead technical and engineering efforts for the company, Manage shipyard and repair periods to ensure necessary work is being done properly, Manage shipyard and vendor services during dry dock and other repair periods. Work with different departments in the company to achieve a safe, efficient, and effective program for the vessels assigned. Community Information: Houston is the largest city in Texas with a population of over 2 million people. A largely motivated and diverse community with employment opportunities to fit all life styles- being the 2nd highest fortune 500 area in the world. Higher college graduate levels than the national average- with an average annual income of 100k+. Home of three major professional teams in basketball, baseball, and football. Located in the center of some of the best public schools in the state. About Expro: Expro provides services and products that measure. We improve, control and process flow from high-value oil and gas wells, from exploration and appraisal through to mature field production optimisation and enhancement. With a specific focus on offshore, deepwater and other technically challenging environments, we provide a range of mission critical services across three key areas: Well Test &amp; Appraisal Services Subsea, Completion &amp; Intervention Services Production Services Our vision is to be the market leader in well flow management, using the industry’s best people, to deliver the highest standards of safety, quality and personalised customer service. We provide a range of solutions including: Exploration &amp; Appraisal Testing Subsea Safety Systems Drilling &amp; Completion Flowback &amp; Clean-up Production Well Integrity &amp; Intervention Expro’s 40+ years of experience and innovation empowers the company to offer tailor-made solutions for customers across the energy sector. With over 5,400 employees in over 50 countries, Expro offers a truly global service solution.",Job/Employment Scam
"Online Typist From Home We're looking for self-motivated individuals who are interested in working from home by performing online data entry work, and other types of work from home duties. . You can choose to work: Full-time, Part-time, Flexible, Temporary, or in a Permanent position. You will be able to select your position in: customer support, typing, data entry, email support and more. We have positions ranging from entry level with a starting pay at $12 per hour and up to six figure salary positions. These positions not only pay competitive wages, but also offer flexibility that will give you full control over your work schedule. Home Office Supplies Computer with internet access Quiet work area away from distractions Must be able to work independently and get the job done with little guidance. Must Apply Online At: #URL_417276ac5438650aa78c2c58617f773cdb9494ed6a0d63447de07c782829a228#-#URL_6c4ffad8fe9cb38c2ae5c761c0028893f9ecfb299e88db7d5dd85e0b7ba65666#",Job/Employment Scam
Found charges of ₹100000 on my Canara Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
Found charges of ₹25000 on my HDFC Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
Mumbai Traffic Police Notice: You have 1 pending challan for signal jumping. Pay before tonight to avoid court summons. This is your final notice.,Phishing
"Information Security Manager This leading-edge company drives over $3 billion in revenue from web sites, search engines, and social networks for more than 8,400 of the world’s top brands. As a Information Security Manager you will work to develop and deliver information security policy and standards, architecture and systems, and leading practice processes to ensure information system security across the enterprise. A successful candidate is an experienced Information Security Manager capable rolling out a prioritized information security program and maintaining the effectiveness of the organization’s ISMS. Responsibilities: Job Responsibilities: Partner with corporate and IT functions to assist in the adoption of information security policies and practices, and monitor for compliance. Maintain and enforce organization’s Information Security policies and Technical Security standards. Deliver targeted Information Security Risk Assessments for third-party vendors/customers/prospects. Interface with all business units to educate and coordinate Information Security Integration into existing and future offerings. Proactively identify security threats to BE's business and information assets, and develop mitigation strategies. Lead external audit certifications - BSI ISO 27001. Lead security-related projects, such as IP-based restrictions, MBS, policy building, VPN, document retention policy, DRP/BIA, etc.",Job/Employment Scam
"Dear Customer, I am Vijay Khanna from CBI, Mumbai. A parcel containing 5 passports and 200g of MDMA has been seized in yoyour name. Ignore at your own risk.",Financial Fraud
"Clinical Director Apply using below link #URL_b76b76a4d2bcc16ce99d1541679e0f2a4a0bc69701d85f1c71da00c5d5a3c68a# Clinical Director, Ambulatory Surgery Center, Fairfax VA Northern Virginia Eye Surgery Center is seeking a dynamic and energetic Clinical Director. This position is a leadership role and will directly manage the clinical and administrative staff of the center, and work directly with the medical providers in coordinating patient care. The ideal candidate for this position is an RN with the following skill sets: Inspires others Excellent clinical knowledge and skills Leads by example Perioperative experience, preferably in an outpatient setting Management experience Ophthalmic experience Circulating RN experience Understands the importance of safety and infection control Northern Virginia Eye Surgery Center is a well established, one OR ambulatory surgery center in Fairfax which specializes in ophthalmology care, delivered by the area's finest physicians. Recent growth includes opening a second operating room to further meet the needs of our patients. Our mission is delivering superb patient care in a healthy and efficient environment. The compensation and benefits package is competitive, and will depend on the experience and qualifications of the successful candidate. Advancing your career and achieving the work/life balance that is a benefit of the ASC environment makes this opportunity desirable.",Job/Employment Scam
Got a call from fake MobiKwik support asking me to share my UPI PIN to resolve an issue. They stole ₹25000 from my account.,UPI Fraud
Surprise Reward: You have been selected for a free gift card worth Rs 5000. Claim now: http://sbi-kyc-update.in Do not delay.,Financial Fraud
"Dear vehicle owner, your e-challan is ready. Click to download the copy and pay the fine. Do not delay.",Phishing
"Boost your income! Participate in our survey and earn Rs 15,450 daily. Sign up here: [Link]",Job/Employment Scam
WARNING: Job Alert: Earn money by simply liking posts. Daily payout guaranteed. Contact [Number] on WhatsApp.,Job/Employment Scam
"BlueDart: International parcel Rs 30,000 value. Customs duty Rs 2,500 pending. Pay: https://bluedart-intl-customs.gq. Parcel returned to origin in 4 hrs.",Financial Fraud
Found charges of ₹30000 on my ICICI Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
"Staff Required For Part-Time Cash Positions. Staff Required For Part-Time Cash Positions. You can do it all from home, in your free time, at your own place. Spend 30 minutes or 1 hours a day &amp; Get biggest cash. You can work in the morning, afternoon, or at night. Perfect for everyone then start immediately. Can earn $400 to $450 extra per day. No any experience required. Zero start-up fee, Visit here:- #URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",Job/Employment Scam
"Dear Customer, You are under digital arrest. Do not disconnect the camera. If you tell anyone, you will face 5 years in jail.",Financial Fraud
Invested ₹20000 in a fake cryptocurrency scheme promising 300% returns. The website disappeared after collecting money from investors.,Investment Scam
My PAN card was misused to open a bank account. Fraudulent transactions worth ₹20000 were made through that account.,Identity Theft
Your passport is being canceled. You must provide a security deposit to stop the process. Failure to respond will result in account suspension.,Financial Fraud
Transferred ₹15000 worth of Bitcoin to a wallet address for an investment opportunity. The person disappeared after receiving payment.,Investment Scam
"RN - Operating Room (OR) Apply using below link #URL_b66ae4730a22cf471a98321a5a330d421abb861523113f6f797ab5a4c3dc9e65# Available positions Nationwide for OR, PACU, CVOR American Traveler staffs over 3,500 hospitals and teaching facilities nationwide. We offer both permanent registered nurse and contract travel nursing job opportunities. OR travel nurse jobs on average, pay twenty percent more than permanent hospital nursing jobs and the perks and lifestyle are amazing! Our nationwide network of preferred travel nurse jobs means that you can choose from a variety of shorter assignments, renew an assignment, or transition to a permanent position. Whatever you decide, American Traveler can help you find the nursing jobs you want in the location you choose. Apply online for more jobs Description Assignment Length: 13 Weeks Shift: Days 8",Job/Employment Scam
"Dear Customer, CBI Officer Rahul Gupta: You are the prime suspect in an international drug smuggling case. Pay Rs 2 Lakhs for bail. This is your final notice.",Financial Fraud
Received email about a government subsidy scheme. Had to pay ₹15000 as registration fee. It was a scam and I lost my money.,Investment Scam
Customer data including mine was exposed when Amazon servers were hacked. Receiving spam and fraud calls ever since.,Other
"Subsea Process Plant Layout Designer Corporate overview Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values. We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. Aker Solutions is a world leading supplier of subsea pumping, compression, processing and power distribution systems for the subsea oil and gas industry. Currently we are realising the Åsgard Subsea Compression System ready to start up in 2015. We see a development of market opportunities, where even more processing systems are moved subsea establishing the future subsea factory. Aker Solutions will split into two companies, one that will retain the Aker Solutions name and will focus on the subsea business and field design and a new oil-services investment company named Akastor consisting of six businesses that will be run independently. Aker Solutions’ subsea power and process unit is continuously improving solutions realising the subsea factory. We are looking for highly motivated and creative engineers capable of shaping this future. We have several open positions at Houston, TX within subsea processing - separation, compression, and power systems. We need you to join the team in developing subsea processing solutions including separation, compression, flow assurance and pumps. Responsibilities and tasks • Take lead and be a driving force within Subsea Factory technology and concept developments from idea to market. • Lead the subsea process plant discipline in projects and studies. • Develop conceptual subsea process system layout and modularisation philosophy in projects and studies. • Present and promote subsea process plant layout solutions internally and in customer meetings.",Job/Employment Scam
My Google Pay account was taken over by someone. They changed all security settings and made purchases worth ₹0.,Account Takeover
"Nursing & Therapy Positions- Home Care Nursing &amp; Therapy Positions-Home Care &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; VIZION ONE, INC. Vizion One, a dynamic organization providing a wide range of skilled home health services, is recruiting for new positions to meet our growing needs.&nbsp; We are seeking energetic and forward thinking, dynamic nurses and therapists to join our Team.&nbsp; We are a fast-paced organization, focused on providing a high level of quality health care services. &nbsp; Candidates should have a positive attitude ! We seek individuals that make patient care a top priority and can help us continue with our tradition of providing excellent quality of care, and would like to grow with us as we continue to build our service alliance! RN CASE MANAGERS/Medical-Surgical -Per Diem PSYCHIATRIC RN&rsquo;S &amp; LPNS&rsquo;S-Per Diem PHYSICAL THERAPISTS- Full Time, Part-Time &amp; Per Diem OCCUPATIONAL THERAPIST- Per Diem PTA&rsquo;s/COTA&rsquo;s- Part Time &amp; Per Diem MSW- Part-Time &amp; Per Diem SPEECH THERAPY- Per Diem Home Care experience is required for all positions. Compensation Vizion One &nbsp;is committed to providing a fulfilling work environment that allows employees to balance their personal lives with their professional careers.&nbsp; Salary&nbsp;is commensurate with experience. &nbsp; **EXCELLENT Opportunity for Growth ** &nbsp; &nbsp;Please forward resume and cover letter to: &nbsp;Vizion One, Inc. 146 West Boylston Drive, Suite 203 Worcester, MA&nbsp; 01606 Phone: #PHONE_2b303ad2ef7b7e3cd937f50de44e9f0d9b40a9fb7c5be709bbbc7d7a8305524d# Fax: #PHONE_7c3f42ed746acd9cba3901f238f654a422e5157686e9374ee211875eeb1c3498# Equal Opportunity Employer &nbsp;",Job/Employment Scam
Found charges of ₹75000 on my Canara Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
Dear customer your electricity power will be disconnected by tonight. Last month bill was not updated. Immediately contact our officer 9054XXXXX -- BrentsElectricity,Phishing
Received credit card from HDFC Bank which I never applied for. Someone used my identity to get the card and spent ₹15000.,Financial Fraud
"Electrical Technician III Corporate overview Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values. We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. The jobholder will support the Electronic / Electrical engineering group achieve their objectives within a quality critical and high reliability engineering/production environment. The jobholder will be responsible for ‘first level’ analysis to resolve system issues, failures and non-conformances within production and provide initial engineering support to rectify or escalate any issue in a timely manner. The jobholder will aid the Electronic / Electrical engineering group drive continuous improvement and perform root cause analysis of electronic printed circuit boards, systems, sub-assemblies and assemblies to component level. The jobholder will be responsible for ensuring technical conformance to specifications while ensuring all work is documented and performed in accordance with company procedures &amp; documentation. To carry out any other requirements needed to allow the company to operate efficiently. Responsibilities and tasks • To work in a safe manner at all times, to comply with all current safety legislation and Company safety policy. • To work at all times to the Company’s Quality Management System. • Evaluate and investigate electronic /electrical equipment &amp; systems, debug, repair to component level. • Action HALT, HASS and ESS testing to ensure reliability of electronic / electrical equipment used in harsh, extreme and safety critical environments • Assist the Engineers with enhanced/non-standard system test, engineering changes, process development, improvement of procedural documentation and NPI (New Product Introduction). • Support Operators/Technicians to improve quality awareness and aid standardization of processes while supporting the Electronic /Electrical group enhance overall system reliability and reduce system defects. • Demonstrate team working and ensure any work carried out by self is performed within schedule • Ensure that documentation is robust, concise, relevant and that quality systems are adhered to. • Ensure all calibrated equipment used within the build, test process is within calibration date and fully maintained for the work activities. • Ensure work area is maintained in a safe and tidy manner. • Play a pro-active role in housekeeping and continuous improvement initiatives. As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.",Job/Employment Scam
"SECURITY OFFICER Monitors an extensive camera system that provides visual observation, the emergency notification system and the radio traffic throughout the assigned facility. Essential Duties and Responsibilities: 1. Monitors an extensive camera system that provides visual observation of the assigned facility. 2. Monitors the emergency notification system and notifies the appropriate persons in case of emergency in the facility. 3. Monitors the radio communication in the assigned facility. 4. Monitors and controls the movement of persons in and out of secured areas, which may include sally ports, holdover cells, inmate housing areas, public areas, restricted access elevators and loading docks. Controls the security of the assigned facility. 5. Operates the security control system. 6. Receives incoming phone calls and assists or forwards the calls to the appropriate person. 7. Monitors and tracks the movement of prisoners into and out of the facility. 8. Performs other duties as assigned",Job/Employment Scam
"Dear Customer, NIA Mumbai: Yoyour identity has been misused for crime. Transfer yoyour savings for verification. This is your final notice.",Financial Fraud
ALERT: Power disconnection scheduled for tonight at 9:30 PM. Call officer [Number] to verify receipt.,Phishing
CSR Now hiring CSR / Advertising representatives to work from home Must Have: Customer Service Representative Computer Internet Phone For more information call (985) 250-0381 Interview Immediately,Job/Employment Scam
CRITICAL NOTICE: Delhi Traffic Police: You have jumped a signal. Pay Rs 2000 fine here: [Fake Link],Phishing
"Home Based Typist/ Data Entry Clerk We have several openings available in this area offering a competitive income averaging about R2,500 per week. We are seeking only, honest, self-motivated people with desire to work in the home typing and data entry field, from the comfort of their own homes. No experience is needed. . If you fit the above description and meet the requirements, please apply at #EMAIL_3b3253aa3e1aa29ecb8bffbcc2811a9d106482ed5d0aa334ca98e74289e2c3af#",Job/Employment Scam
"PACU RN Find more jobs at #URL_1efb08d6a6da1c56afb2d0c686e1ed0dc14d0fbcb22482369e8a69999aa0d278# Apply to this job using below link #URL_1efb08d6a6da1c56afb2d0c686e1ed0dc14d0fbcb22482369e8a69999aa0d278#/jobs-united-states/917714/watkins-staffing/pacu-rn PACU RN (per diem) -- Las Vegas, NV Requirements: 2 - year minimum acute experience in a hospital setting. We're eager to fill positions immediately, please apply ASAP. Active Nevada State RN license. 12 hour day shifts available, 12 - 48 hours per week ***Guaranteed Hours Advantages of Per Diem Nursing: • Make extra money, depending on their commitment, which is the main advantage. • Pick your own schedules based on your commitment. • 24 hours a week, 36 hours a week - one weekend a month and one holiday a year - these are the nurses making the big bucks, while providing sorely needed coverage. • In most cases staff nurses must work every other weekend, two holidays and can't necessarily pick their schedules. • Nothing can match the flexibility that comes with per diem shifts. Higher Pay Per Diem shifts are paid at a higher rate. The flexibility to pick up shifts as needed, combined with higher wages allows you to maximize your earning potential. Bachelor's Degree or Associates Degree in Nursing is required Must possess U.S. hospital experience; recent specialty experience within 1 year. Active American Heart Association BLS, ACLS card Weekly pay rates will be determine based on experience. ***Please Note: If you are proactively looking for an opportunity, or would like to view our MANY openings, you may follow the link and instructions below to create your profile:",Job/Employment Scam
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹45000 using my documents.,Identity Theft
Transferred ₹200000 worth of Bitcoin to a wallet address for an investment opportunity. The person disappeared after receiving payment.,Investment Scam
I was selling my laptop online. The buyer sent a fake UPI screenshot showing payment of ₹100000. I shipped the item but never received the money.,UPI Fraud
Your vehicle has been blacklisted due to 5 unpaid challans. Clear them at [Link].,Phishing
"A person sent me a QR code saying scan to receive money. After scanning, ₹10000 was deducted instead of credited.",UPI Fraud
Received credit card from IndusInd Bank which I never applied for. Someone used my identity to get the card and spent ₹20000.,Financial Fraud
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹30000 was deducted from my account.",UPI Fraud
E-Challan Notification: Your payment of Rs 500 failed. Please try again on our portal. Ignore at your own risk.,Phishing
"Dear Winner, Your prize check of Rs 5 Lakhs is ready. Verify your bank account at [Link] to receive. Contact us immediately.",Financial Fraud
My credit card details were stolen from an unsecured website. Fraudulent transactions of ₹25000 were made within hours.,Financial Fraud
Found charges of ₹10000 on my Bank of Baroda credit card statement for subscriptions I never signed up for.,Financial Fraud
Military Outreach Consultant (Telecommute) Anthony Warren Consultant hires Military acitve duty and Veterans only. We are presently hiring 10 Management consultant trainees to assist in the promotion of online seminars and training workshops. We pay $500 to $1000 a week guarantee + commisssions. Certification class is a prerequisite to employment. Telecommute means you have a virtual desk from your computer and are paid via company debit card. Our staff hires from E-3 to O-7. Military experience mandatory. Complete online interview process includes personal interview with Mr. Warren. This program assists servicemember in utilizing Military Benefits. Full and Part Time positions available. After applying for this position Applicants are encouraged to connect with us on LinkedIn to become familiar with our company mission at #URL_7d754b0ccc8bac5945941389e9619377e37eae169f141fea9684ae0092c1cc02#,Job/Employment Scam
"Project Manager: Mechanical Essential Duties and Responsibilities: * Develop budget and schedule in alignment with the scope. * Able to understand and comprehend the major process steps involved in the project. * Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc. * Able to develop the project execution plan. * Interface with the client and develop rapport. * Request appropriate resources to execute the project work. * Manage the project personnel. * Effective communication skills - with the client and inter discipline personnel within the company. * Project tracking/monitoring - budget and schedule with the help of project control personnel. * Perform engineering calculations to support the project * Follow and implement standard project procedures per Company Project Procedure Manual * Ability to relate project drawings with field construction. * Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully. * Ability to control the quality of project deliverables.",Job/Employment Scam
Received credit card from Bank of Baroda which I never applied for. Someone used my identity to get the card and spent ₹100000.,Financial Fraud
"Blinkit: Your Rs 1,450 grocery order delivered to wrong address. Refund initiated. Share UPI PIN to complete reversal within 10 min or refund voids.",Financial Fraud
Received credit card from HDFC Bank which I never applied for. Someone used my identity to get the card and spent ₹75000.,Financial Fraud
I was selling my bicycle online. The buyer sent a fake UPI screenshot showing payment of ₹100000. I shipped the item but never received the money.,UPI Fraud
"IT Department: PAN-Aadhaar unlink detected on your profile. Re-link at https://incometax-relink.in-pan.net or Rs 10,000 penalty from tomorrow.",Financial Fraud
Received credit card from IndusInd Bank which I never applied for. Someone used my identity to get the card and spent ₹15000.,Financial Fraud
"Namaste, main ICICI Bank fraud department se bol raha hoon. Employee ID 45612. Aapke account par fraud attempt hua hai. OTP verify karne ke liye share karein.",UPI Fraud
Purchased concert tickets for ₹0 from a reseller online. Received fake tickets that didn't work at the venue.,Online Shopping Scam
NIA: Your social media account is used for illegal activity. You are under arrest.,Financial Fraud
"Dear Customer, Yoyour Aadhaar is linked to a terror funding case in HDFC bank. Press 1 to speak to the Crime Branch.",Financial Fraud
Participated in online cricket betting and lost ₹100000. The app is operating illegally in India.,Financial Fraud
Someone hacked my Google Pay account and made unauthorized UPI transactions totaling ₹5000 to unknown numbers.,UPI Fraud
I received a message claiming to be from Bank of Baroda asking me to update my KYC details urgently. I clicked the link and entered my card details. Now ₹0 has been debited from my account.,Phishing
Found charges of ₹10000 on my Canara Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
"URGENT: Dear Customer, Income Tax Department: Yoyour tax refund is pending due to KYC. Update yoyour PAN card. Do not delay.",Phishing
"I am Vijay Khanna from Cyber Crime Unit, Mumbai. A parcel containing 5 passports and 200g of MDMA has been seized in your name.",Financial Fraud
"Administrative Assistant Duties / Responsibilities: - Data entry, general filing - Type documents and correspondence - Assist ordering materials / parts - Assist with Logistics Monday through Friday 8:30am -6:00pm",Job/Employment Scam
Received email about a government subsidy scheme. Had to pay ₹20000 as registration fee. It was a scam and I lost my money.,Investment Scam
Your e-challan is pending for over 30 days. Your case is being sent to Lok Adalat.,Phishing
"Call Center Representative Duties and Responsibilities: Answer Call Center incoming telephone calls, e-mail inquiries and instant message chats from clients and participants in a professional, courteous and timely manner. Improve client satisfaction by providing high quality Customer Service and timely follow up and resolution of participant issues. Identify benefit information and provide accurate and thorough information to all internal and external clients. Document all calls in the designated call log to ensure timely follow up and problem resolution. Answer all calls within two rings.",Job/Employment Scam
"Dear Customer, ALERT: Dear User, yoyour bank account is blocked. Update yoyour KYC to continue services. Visit [Malicious Link]",Phishing
IMPORTANT: Dear Customer Ur El3ctricity wiII be Disconnected Tonight at 9:30 PM Ur previous Month biII was not Update Plz call urgent 81262XXXXX Thanku81262.,Phishing
"Dear Consumer, Your electricity service is being suspended due to non-payment. Call 6202XXXXXX to stop.",Phishing
Joined an online casino through a WhatsApp group. Deposited ₹25000 but cannot withdraw my winnings now.,Financial Fraud
URGENT: Mumbai Traffic Police Notice: You have 1 pending challan for signal jumping. Pay before tonight to avoid court summons.,Phishing
Your KBC lottery prize of 25 lakhs is waiting for RBI clearance. Pay Rs 99 to clear.,Financial Fraud
"Dear customer, you have a pending reward of Rs 99 in your wallet. Claim it now: [Link] Do not delay.",Financial Fraud
"ALERT: Dear User, Your net banking access will be terminated tonight. Update KYC immediately.",Phishing
